epoch,train_accuracy,max_train_accuracy,test_accuracy,max_test_accuracy,best_epoch,train_loss,lr,model_name,fold
1,62.275449101796404,62.275449101796404,64.28571428571429,64.28571428571429,1,1.0783329960845767,0.001,resnet50,1
2,77.24550898203593,77.24550898203593,89.28571428571429,89.28571428571429,2,0.5681385944286982,0.001,resnet50,1
3,83.83233532934132,83.83233532934132,72.61904761904762,89.28571428571429,2,0.4551074213924862,0.001,resnet50,1
4,85.02994011976048,85.02994011976048,83.33333333333333,89.28571428571429,2,0.41815831547691706,0.001,resnet50,1
5,76.04790419161677,85.02994011976048,78.57142857142857,89.28571428571429,2,0.6464782944392591,0.001,resnet50,1
1,83.83233532934132,83.83233532934132,96.42857142857143,96.42857142857143,1,0.40769134319963907,0.0001,resnet50,1
2,85.62874251497006,85.62874251497006,95.23809523809524,96.42857142857143,1,0.3635728302456084,0.0001,resnet50,1
3,91.61676646706587,91.61676646706587,95.23809523809524,96.42857142857143,1,0.2782072172988029,0.0001,resnet50,1
4,89.82035928143712,91.61676646706587,95.23809523809524,96.42857142857143,1,0.3094215171322936,0.0001,resnet50,1
5,86.82634730538922,91.61676646706587,95.23809523809524,96.42857142857143,1,0.33622521765175317,0.0001,resnet50,1
1,91.01796407185628,91.01796407185628,95.23809523809524,95.23809523809524,1,0.2612889464057627,1e-05,resnet50,1
2,92.81437125748504,92.81437125748504,95.23809523809524,95.23809523809524,1,0.2749368454374018,1e-05,resnet50,1
3,81.437125748503,92.81437125748504,95.23809523809524,95.23809523809524,1,0.37399831662575406,1e-05,resnet50,1
4,90.41916167664671,92.81437125748504,95.23809523809524,95.23809523809524,1,0.24493971786328725,1e-05,resnet50,1
5,91.61676646706587,92.81437125748504,95.23809523809524,95.23809523809524,1,0.2725162917659396,1e-05,resnet50,1
1,79.64071856287426,79.64071856287426,82.14285714285714,82.14285714285714,1,0.613806677716119,0.001,resnet50,2
2,77.8443113772455,79.64071856287426,88.0952380952381,88.0952380952381,2,0.5281605628274736,0.001,resnet50,2
