epoch,train_accuracy,max_train_accuracy,test_accuracy,max_test_accuracy,best_epoch,train_loss,lr,model_name,fold
4,98.20359281437126,98.20359281437126,95.23809523809524,95.23809523809524,4,0.11070967166071556,0.0001,vgg16,2
5,97.60479041916167,98.20359281437126,91.66666666666667,95.23809523809524,4,0.07687355113563535,0.0001,vgg16,2
1,98.20359281437126,98.20359281437126,91.66666666666667,91.66666666666667,1,0.11508828017792945,1e-05,vgg16,2
2,97.0059880239521,98.20359281437126,91.66666666666667,91.66666666666667,1,0.07857972432381014,1e-05,vgg16,2
3,100.0,100.0,91.66666666666667,91.66666666666667,1,5.689849863545403e-05,1e-05,vgg16,2
4,98.20359281437126,100.0,91.66666666666667,91.66666666666667,1,0.07940035718080196,1e-05,vgg16,2
5,98.20359281437126,100.0,91.66666666666667,91.66666666666667,1,0.07846623378539624,1e-05,vgg16,2
1,92.26190476190476,92.26190476190476,96.3855421686747,96.3855421686747,1,1.9391106489776921,0.001,vgg16,3
2,90.47619047619048,92.26190476190476,96.3855421686747,96.3855421686747,1,1.223588480847649,0.001,vgg16,3
3,91.07142857142857,92.26190476190476,97.59036144578313,97.59036144578313,3,0.9171896461746731,0.001,vgg16,3
4,91.07142857142857,92.26190476190476,100.0,100.0,4,1.094697910682505,0.001,vgg16,3
5,93.45238095238095,93.45238095238095,91.56626506024097,100.0,4,0.8928781544614353,0.001,vgg16,3
1,94.04761904761905,94.04761904761905,97.59036144578313,97.59036144578313,1,0.6400963839602182,0.0001,vgg16,3
2,95.83333333333333,95.83333333333333,93.97590361445783,97.59036144578313,1,0.43564553669877915,0.0001,vgg16,3
3,95.83333333333333,95.83333333333333,93.97590361445783,97.59036144578313,1,0.4621171246524219,0.0001,vgg16,3
4,94.04761904761905,95.83333333333333,93.97590361445783,97.59036144578313,1,0.4266967900498674,0.0001,vgg16,3
5,95.83333333333333,95.83333333333333,98.79518072289157,98.79518072289157,5,0.26264828389178013,0.0001,vgg16,3
1,95.83333333333333,95.83333333333333,98.79518072289157,98.79518072289157,1,0.23698336934001757,1e-05,vgg16,3
2,99.4047619047619,99.4047619047619,98.79518072289157,98.79518072289157,1,0.07945423997119175,1e-05,vgg16,3
3,98.21428571428571,99.4047619047619,98.79518072289157,98.79518072289157,1,0.18979899322969526,1e-05,vgg16,3
4,97.61904761904762,99.4047619047619,98.79518072289157,98.79518072289157,1,0.2672091136627667,1e-05,vgg16,3
5,98.80952380952381,99.4047619047619,98.79518072289157,98.79518072289157,1,0.02540857246875459,1e-05,vgg16,3
1,38.32335329341317,38.32335329341317,66.66666666666667,66.66666666666667,1,1.5201069826171512,0.001,eva,1
2,76.04790419161677,76.04790419161677,72.61904761904762,72.61904761904762,2,0.6304107010364532,0.001,eva,1
3,85.62874251497006,85.62874251497006,88.0952380952381,88.0952380952381,3,0.43564577613558086,0.001,eva,1
4,92.81437125748504,92.81437125748504,83.33333333333333,88.0952380952381,3,0.3345183268899009,0.001,eva,1
5,89.22155688622755,92.81437125748504,88.0952380952381,88.0952380952381,3,0.320549481681415,0.001,eva,1
1,92.81437125748504,92.81437125748504,92.85714285714286,92.85714285714286,1,0.28568828992900397,0.0001,eva,1
2,96.40718562874251,96.40718562874251,91.66666666666667,92.85714285714286,1,0.24977982469967433,0.0001,eva,1
3,95.20958083832335,96.40718562874251,91.66666666666667,92.85714285714286,1,0.25342966474237894,0.0001,eva,1
4,96.40718562874251,96.40718562874251,92.85714285714286,92.85714285714286,1,0.2362923270889691,0.0001,eva,1
5,95.80838323353294,96.40718562874251,94.04761904761905,94.04761904761905,5,0.23289098413217635,0.0001,eva,1
1,95.20958083832335,95.20958083832335,92.85714285714286,92.85714285714286,1,0.22463474050164223,1e-05,eva,1
2,95.20958083832335,95.20958083832335,92.85714285714286,92.85714285714286,1,0.2373294173961594,1e-05,eva,1
3,96.40718562874251,96.40718562874251,92.85714285714286,92.85714285714286,1,0.2180977009591602,1e-05,eva,1
4,95.20958083832335,96.40718562874251,92.85714285714286,92.85714285714286,1,0.22791720110745656,1e-05,eva,1
5,96.40718562874251,96.40718562874251,92.85714285714286,92.85714285714286,1,0.22514518066531136,1e-05,eva,1
1,93.41317365269461,93.41317365269461,92.85714285714286,92.85714285714286,1,0.25495519808360506,0.001,eva,2
2,94.0119760479042,94.0119760479042,91.66666666666667,92.85714285714286,1,0.1896632123915922,0.001,eva,2
3,93.41317365269461,94.0119760479042,86.9047619047619,92.85714285714286,1,0.18826940708926745,0.001,eva,2
4,98.80239520958084,98.80239520958084,92.85714285714286,92.85714285714286,1,0.11080330242181108,0.001,eva,2
5,98.80239520958084,98.80239520958084,94.04761904761905,94.04761904761905,5,0.09484520137664817,0.001,eva,2
1,98.80239520958084,98.80239520958084,90.47619047619048,90.47619047619048,1,0.08135559791255564,0.0001,eva,2
2,99.40119760479043,99.40119760479043,92.85714285714286,92.85714285714286,2,0.0729349775550266,0.0001,eva,2
3,98.80239520958084,99.40119760479043,90.47619047619048,92.85714285714286,2,0.07010471953877381,0.0001,eva,2
4,99.40119760479043,99.40119760479043,92.85714285714286,92.85714285714286,2,0.0713273234044512,0.0001,eva,2
5,99.40119760479043,99.40119760479043,90.47619047619048,92.85714285714286,2,0.06534287058526561,0.0001,eva,2
1,99.40119760479043,99.40119760479043,90.47619047619048,90.47619047619048,1,0.0649900066533259,1e-05,eva,2
2,100.0,100.0,90.47619047619048,90.47619047619048,1,0.0579154102043027,1e-05,eva,2
3,99.40119760479043,100.0,91.66666666666667,91.66666666666667,3,0.06588546993831794,1e-05,eva,2
4,99.40119760479043,100.0,91.66666666666667,91.66666666666667,3,0.0709127431646699,1e-05,eva,2
5,99.40119760479043,100.0,91.66666666666667,91.66666666666667,3,0.07211596846935295,1e-05,eva,2
1,93.45238095238095,93.45238095238095,98.79518072289157,98.79518072289157,1,0.21249478878009886,0.001,eva,3
2,91.66666666666667,93.45238095238095,98.79518072289157,98.79518072289157,1,0.18485285257477135,0.001,eva,3
3,96.42857142857143,96.42857142857143,100.0,100.0,3,0.12449985975399613,0.001,eva,3
4,97.61904761904762,97.61904761904762,97.59036144578313,100.0,3,0.10349808988117036,0.001,eva,3
5,97.02380952380952,97.61904761904762,100.0,100.0,3,0.11528784249510084,0.001,eva,3
1,97.61904761904762,97.61904761904762,98.79518072289157,98.79518072289157,1,0.08087891996616409,0.0001,eva,3
2,98.21428571428571,98.21428571428571,98.79518072289157,98.79518072289157,1,0.0714229763973327,0.0001,eva,3
3,98.80952380952381,98.80952380952381,98.79518072289157,98.79518072289157,1,0.07029101780305307,0.0001,eva,3
4,98.21428571428571,98.80952380952381,98.79518072289157,98.79518072289157,1,0.07135768228077463,0.0001,eva,3
5,98.21428571428571,98.80952380952381,98.79518072289157,98.79518072289157,1,0.0747653482526186,0.0001,eva,3
1,98.80952380952381,98.80952380952381,98.79518072289157,98.79518072289157,1,0.06718991080387718,1e-05,eva,3
2,98.80952380952381,98.80952380952381,98.79518072289157,98.79518072289157,1,0.06824856795858414,1e-05,eva,3
3,98.80952380952381,98.80952380952381,98.79518072289157,98.79518072289157,1,0.06292160857646238,1e-05,eva,3
4,98.80952380952381,98.80952380952381,98.79518072289157,98.79518072289157,1,0.060784719995267335,1e-05,eva,3
5,98.21428571428571,98.80952380952381,98.79518072289157,98.79518072289157,1,0.07260709207150198,1e-05,eva,3
